,observed_on,place_guess,latitude,longitude,place_state_name,scientific_name,common_name,iconic_taxon_name,park,state,ParkName,Park
11910,2020-06-15,"Rocky Mountain National Park, Estes Park, CO, US",40.3068911963,-105.5379574877,Colorado,Marmotini,Holarctic Ground Squirrels and Chipmunks,Mammalia,Rocky Mountain National Park,CO,Rocky Mountain ,Rocky Mountain NP
11911,2019-05-26,"Crater Lake National Park, Chiloquin, OR, US",43.0359377284,-122.171035233,Oregon,Callospermophilus lateralis,Golden-mantled Ground Squirrel,Mammalia,Crater Lake National Park,OR,Crater Lake ,Crater Lake NP
11912,2020-06-14,"Sequoia National Park, Three Rivers, CA, US",36.49501667,-118.85130333,California,Ursus americanus,American Black Bear,Mammalia,Sequoia and Kings Canyon National Park,CA,Sequoia and Kings Canyon ,Sequoia and Kings Canyon NP
11913,2020-06-15,"Yosemite National Park, Yosemite National Park, CA, US",37.81073333,-119.48541999999999,California,Marmota flaviventris,Yellow-bellied Marmot,Mammalia,Yosemite National Park,CA,Yosemite ,Yosemite NP
11914,2020-06-15,"Yosemite National Park, Yosemite National Park, CA, US",37.80957833,-119.48528333,California,Callospermophilus lateralis,Golden-mantled Ground Squirrel,Mammalia,Yosemite National Park,CA,Yosemite ,Yosemite NP
11915,2020-06-15,"Yosemite National Park, Groveland, CA, US",37.76062,-119.80246667,California,Odocoileus hemionus,Mule Deer,Mammalia,Yosemite National Park,CA,Yosemite ,Yosemite NP
11916,2020-06-07,"Rocky Mountain National Park, Estes Park, CO, US",40.27917167,-105.63768833,Colorado,Cervus canadensis,Wapiti,Mammalia,Rocky Mountain National Park,CO,Rocky Mountain ,Rocky Mountain NP
11917,2019-07-02,"Glacier National Park, Babb, MT, US",48.8231,-113.57589667,Montana,Ursus americanus,American Black Bear,Mammalia,Glacier National Park,MT,Glacier ,Glacier NP
11918,2020-06-15,"Yellowstone National Park, Cody, WY, US",44.885109666000005,-111.05218234860001,Wyoming,Marmotini,Holarctic Ground Squirrels and Chipmunks,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
11919,2020-06-16,"Yellowstone National Park, Gardiner, MT, US",45.0260861734,-110.7027410718,Montana,Antilocapra americana,Pronghorn,Mammalia,Yellowstone National Park,MT,Yellowstone ,Yellowstone NP
11920,2020-06-13,"Yellowstone National Park, US",44.453189811499996,-110.89479084879999,Wyoming,Bison bison,American Bison,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
11921,2020-06-16,"Wind Cave National Park, Custer, SD, US",43.6380965962,-103.4752526321,South Dakota,Canis latrans,Coyote,Mammalia,Wind Cave National Park,SD,Wind Cave ,Wind Cave NP
11922,2020-06-16,"Wind Cave National Park, Hot Springs, SD, US",43.581292606000005,-103.4848859535,South Dakota,Cervus canadensis,Wapiti,Mammalia,Wind Cave National Park,SD,Wind Cave ,Wind Cave NP
11923,2020-06-16,"Rocky Mountain, Rocky Mountain National Park, Rocky Mountain National Park, Larimer County, US-CO, US",40.28279292,-105.66513478,Colorado,Marmota flaviventris,Yellow-bellied Marmot,Mammalia,Rocky Mountain National Park,CO,Rocky Mountain ,Rocky Mountain NP
