,observed_on,place_guess,latitude,longitude,place_state_name,scientific_name,common_name,iconic_taxon_name,park,state,ParkName,Park
0,2008-08-08,"Yellowstone National Park, Park County, US-WY, US",44.81158504850001,-110.4813327912,Wyoming,Bison bison,American Bison,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
1,2009-05-14,"Everglades National Park, Monroe County, US-FL, US",25.153938090900002,-80.8517896342,Florida,Trichechus manatus,West Indian Manatee,Mammalia,Everglades National Park,FL,Everglades ,Everglades NP
2,2009-06-08,"Kings Canyon/Sequoia National Park, NV, US",36.489654541,-118.7792892456,California,Odocoileus hemionus californicus,California Mule Deer,Mammalia,Sequoia and Kings Canyon National Park,CA,Sequoia and Kings Canyon ,Sequoia and Kings Canyon NP
3,2009-06-08,"Kings Canyon/Sequoia National Park, NV, US",36.5200119019,-118.795425415,California,Otospermophilus beecheyi,California Ground Squirrel,Mammalia,Sequoia and Kings Canyon National Park,CA,Sequoia and Kings Canyon ,Sequoia and Kings Canyon NP
4,2010-04-11,"Kings Canyon/Sequoia National Park, NV, US",36.5244255066,-118.7514801025,California,Otospermophilus beecheyi,California Ground Squirrel,Mammalia,Sequoia and Kings Canyon National Park,CA,Sequoia and Kings Canyon ,Sequoia and Kings Canyon NP
7,2011-05-18,"Yellowstone National Park, US",44.893380836400006,-110.668622501,Wyoming,Ursus arctos horribilis,Grizzly Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
8,2011-05-19,"Yellowstone National Park, US-WY, US",44.524812548199996,-110.91275527139999,Wyoming,Ursus arctos horribilis,Grizzly Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
9,2011-03-18,"Death Valley National Park, Inyo County, US-CA, US",36.2717420509,-117.4932629296,California,Equus asinus,Donkey,Mammalia,Death Valley National Park,CA,Death Valley ,Death Valley NP
10,2006-08-08,"Grand Teton National Park, WY, US",43.6872393195,-110.6865692139,Wyoming,Castor canadensis,American Beaver,Mammalia,Grand Teton National Park,WY,Grand Teton ,Grand Teton NP
11,2011-06-28,"Yellowstone National Park, WY, US",44.924609999999994,-110.424103,Wyoming,Urocitellus armatus,Uinta Ground Squirrel,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
12,2011-06-28,"Yellowstone National Park, US",44.867427130699994,-110.5384660179,Wyoming,Bison bison,American Bison,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
13,2011-06-28,"Yellowstone National Park, Park County, US-WY, US",44.7973429667,-110.79091986290001,Wyoming,Ursus arctos,Brown Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
14,2011-06-28,"Yellowstone National Park, WY, US",44.977191999999995,-110.699448,Wyoming,Cervus canadensis,Wapiti,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
15,2011-05-25,"Yellowstone National Park, Teton County, US-WY, US",44.404393592299996,-110.7256505284,Wyoming,Bison bison,American Bison,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
16,2011-09-10,"US-20, Yellowstone National Park, WY  82190, , United States",44.4323806763,-110.5131759644,Wyoming,Alces alces,Moose,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
17,2011-08-12,"Yellowstone National Park, Park County, US-WY, US",44.665932591499995,-110.5663569897,Wyoming,Bison bison,American Bison,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
18,2011-08-29,"Mount Rainier, Mount Rainier National Park, Pierce County, US-WA, US",46.797062853999996,-121.7270994186,Washington,Ochotona princeps,American Pika,Mammalia,Mount Rainier National Park,WA,Mount Rainier ,Mount Rainier NP
19,2011-08-08,"Redwood National Park, Del Norte County, US-CA, US",41.7207340092,-124.14589405059999,California,Cervus canadensis,Wapiti,Mammalia,Redwood National Park,CA,Redwood ,Redwood NP
20,2011-10-21,"Channel Islands National Park, Channel Islands, Santa Barbara County, UCNRS, US-CA, US",33.816213494,-119.6979402272,California,Urocyon littoralis,Island Fox,Mammalia,Channel Islands National Park,CA,Channel Islands ,Channel Islands NP
21,2010-08-15,"Yellowstone National Park, US",44.800281383199994,-110.02194106620001,Wyoming,Ursus arctos horribilis,Grizzly Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
22,2010-06-14,"Yellowstone National Park, Teton County, US-WY, US",44.5463588982,-110.7551745245,Wyoming,Bison bison,American Bison,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
23,2011-09-06,"Yellowstone National Park, US",44.898360725,-110.3166899333,Wyoming,Canis lupus,Gray Wolf,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
24,2011-12-21,"Everglades National Park, Monroe County, US-FL, US",25.189148888600002,-80.9790421108,Florida,Trichechus manatus,West Indian Manatee,Mammalia,Everglades National Park,FL,Everglades ,Everglades NP
25,2008-06-19,"Yellowstone National Park, US-WY, US",44.5796808028,-110.473757226,Wyoming,Ursus arctos horribilis,Grizzly Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
26,2008-06-19,"Yellowstone National Park, US-WY, US",44.5477222124,-110.46985132469999,Wyoming,Ovis canadensis,Bighorn Sheep,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
27,2008-06-19,"Yellowstone National Park, US-WY, US",44.534676625299994,-110.41004080280001,Wyoming,Bison bison,American Bison,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
28,2008-06-04,"Yellowstone National Park, Park County, US-WY, US",44.7869400325,-110.5630686204,Wyoming,Ursus arctos,Brown Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
29,2010-06-07,"Yellowstone National Park, Park County, US-WY, US",44.705026338500005,-110.4215135812,Wyoming,Canis lupus,Gray Wolf,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
30,2005-06-07,"Yellowstone National Park, Park County, US-WY, US",44.7115694049,-110.2072203107,Wyoming,Ursus arctos,Brown Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
31,2011-12-17,"Redwood National Park, Humboldt County, US-CA, US",41.350815747199995,-124.0292930603,California,Cervus canadensis roosevelti,Roosevelt Elk,Mammalia,Redwood National Park,CA,Redwood ,Redwood NP
32,2011-06-07,"Yellowstone National Park, Park County, US-WY, US",44.6525729067,-110.55008899040001,Wyoming,Bison bison,American Bison,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
33,2003-06-03,"Yellowstone National Park, US-WY, US",44.5138644391,-110.29597089010001,Wyoming,Ursus arctos,Brown Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
34,2009-06-06,"Yellowstone National Park, Park County, US-WY, US",44.7574443691,-110.54418493440001,Wyoming,Canis lupus,Gray Wolf,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
35,2010-06-06,"Yellowstone National Park, Park County, US-WY, US",44.7088745361,-110.5607425565,Wyoming,Ursus arctos,Brown Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
36,2006-06-11,"Yellowstone National Park, US-WY, US",44.5191748274,-110.43931277729999,Wyoming,Ursus arctos,Brown Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
37,2007-06-09,"Yellowstone National Park, Park County, US-WY, US",44.6217025472,-110.4241547298,Wyoming,Bison bison,American Bison,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
38,2008-08-13,"Denali National Park, US-AK, US",63.173050503999995,-151.14664348510001,Alaska,Canis lupus,Gray Wolf,Mammalia,Denali National Park,AK,Denali ,Denali NP & PRES
39,2010-06-05,"Yellowstone National Park, US-WY, US",44.5666493244,-110.53350824360001,Wyoming,Ursus arctos horribilis,Grizzly Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
40,2010-06-10,"Yellowstone National Park, Park County, US-WY, US",44.6516419229,-110.28893517790002,Wyoming,Ursus arctos,Brown Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
41,2010-06-06,"Yellowstone National Park, US",44.9824309275,-110.4272649398,Wyoming,Bison bison,American Bison,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
42,2011-06-10,"Yellowstone National Park, Park County, US-WY, US",44.7094386814,-110.539517316,Wyoming,Canis lupus,Gray Wolf,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
43,2003-07-28,"Yellowstone National Park, WY, US",44.648417922600004,-110.93777418139999,Wyoming,Cervus canadensis,Wapiti,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
44,2009-05-28,"Grand Canyon, Grand Canyon National Park, Coconino County, US-AZ, US",36.0006365154,-112.0802698529,Arizona,Ovis canadensis,Bighorn Sheep,Mammalia,Grand Canyon National Park,AZ,Grand Canyon ,Grand Canyon NP
45,2011-03-27,"Grand Canyon, Grand Canyon National Park, Coconino County, US-AZ, US",36.054746,-112.141989,Arizona,Cervus canadensis,Wapiti,Mammalia,Grand Canyon National Park,AZ,Grand Canyon ,Grand Canyon NP
46,2012-05-10,"Yellowstone National Park, Park County, US-WY, US",44.6038486192,-110.621234261,Wyoming,Ursus arctos horribilis,Grizzly Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
47,2012-05-10,"Yellowstone National Park, Teton County, US-WY, US",44.6601064421,-110.95573425290002,Wyoming,Marmota flaviventris,Yellow-bellied Marmot,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
48,2012-05-10,"Yellowstone National Park, Park County, US-WY, US",44.989569904899994,-110.69549560549999,Wyoming,Cervus canadensis,Wapiti,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
49,2012-05-08,"Yellowstone National Park, Park County, US-WY, US",44.9140062393,-110.35766601559999,Wyoming,Taxidea taxus,American Badger,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
50,2012-05-14,"Mount Rainier National Park, Buckley, Washington, US",46.86027,-121.704899,Washington,Marmota caligata,Hoary Marmot,Mammalia,Mount Rainier National Park,WA,Mount Rainier ,Mount Rainier NP
51,2012-05-06,"Yellowstone National Park, US",44.617463699300004,-110.9167513828,Wyoming,Ursus arctos horribilis,Grizzly Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
52,2012-05-04,"Yellowstone National Park, Park County, US-WY, US",44.957752964099996,-110.60417175290002,Wyoming,Ursus americanus,American Black Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
53,2012-05-03,"Yellowstone National Park, US",44.901119853400004,-110.74050871760001,Wyoming,Canis lupus,Gray Wolf,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
54,2012-05-04,"Yellowstone National Park, US",44.727880013500005,-110.93737465219999,Wyoming,Ursus arctos horribilis,Grizzly Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
55,2012-05-10,"Yellowstone National Park, Park County, US-WY, US",44.9400152541,-110.7188415527,Wyoming,Canis latrans,Coyote,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
56,2012-05-02,"Yellowstone National Park, Teton County, US-WY, US",44.6559548643,-110.7669067383,Wyoming,Ursus americanus,American Black Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
57,2012-05-25,"Yosemite National Park, Tuolumne County, US-CA, US",38.02045543,-119.71657239,California,Odocoileus hemionus,Mule Deer,Mammalia,Yosemite National Park,CA,Yosemite ,Yosemite NP
58,2012-05-24,"Yosemite National Park, Tuolumne County, US-CA, US",38.00726937,-119.74565696,California,Odocoileus hemionus,Mule Deer,Mammalia,Yosemite National Park,CA,Yosemite ,Yosemite NP
59,2012-06-10,"Yellowstone National Park, US",44.872891015,-110.3750767974,Wyoming,Canis lupus,Gray Wolf,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
60,2012-06-26,"Denali National Park, Denali County, US-AK, US",63.734149089,-149.4479699263,Alaska,Rangifer tarandus,Caribou,Mammalia,Denali National Park,AK,Denali ,Denali NP & PRES
61,2012-07-15,"Yellowstone National Park, Teton County, US-WY, US",44.4948428333,-110.6031138721,Wyoming,Canis lupus,Gray Wolf,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
62,2011-08-31,"Rocky Mountain, Rocky Mountain National Park, Rocky Mountain National Park, Larimer County, US-CO, US",40.3155465373,-105.67161083219999,Colorado,Ochotona princeps,American Pika,Mammalia,Rocky Mountain National Park,CO,Rocky Mountain ,Rocky Mountain NP
63,2011-08-31,"Rocky Mountain, Rocky Mountain National Park, Rocky Mountain National Park, Larimer County, US-CO, US",40.3155465373,-105.67161083219999,Colorado,Ochotona princeps,American Pika,Mammalia,Rocky Mountain National Park,CO,Rocky Mountain ,Rocky Mountain NP
64,2012-07-20,"Yellowstone National Park, Teton County, US-WY, US",44.457632186400005,-110.52828275120001,Wyoming,Bison bison,American Bison,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
65,2009-07-10,"Grand Teton National Park, Teton County, US-WY, US",43.790583081,-110.8414077759,Wyoming,Ochotona princeps,American Pika,Mammalia,Grand Teton National Park,WY,Grand Teton ,Grand Teton NP
67,2012-08-12,"Rocky Mountain, Rocky Mountain National Park, Rocky Mountain National Park, Grand County, US-CO, US",40.424862,-105.850549,Colorado,Marmota flaviventris,Yellow-bellied Marmot,Mammalia,Rocky Mountain National Park,CO,Rocky Mountain ,Rocky Mountain NP
68,2012-08-12,"Rocky Mountain, Rocky Mountain National Park, Rocky Mountain National Park, Grand County, US-CO, US",40.45487,-105.848685,Colorado,Callospermophilus lateralis,Golden-mantled Ground Squirrel,Mammalia,Rocky Mountain National Park,CO,Rocky Mountain ,Rocky Mountain NP
69,2012-08-05,"Sequoia National Park, Sequoia and Kings Canyon National Parks, Tulare County, US-CA, US",36.5106882019,-118.5430812836,California,Ochotona princeps,American Pika,Mammalia,Sequoia and Kings Canyon National Park,CA,Sequoia and Kings Canyon ,Sequoia and Kings Canyon NP
70,2012-08-03,"Kings Canyon/sequoia, Sequoia National Park, Sequoia and Kings Canyon National Parks, Tulare County, US-CA, US",36.4515617019,-118.57547400790001,California,Ochotona princeps,American Pika,Mammalia,Sequoia and Kings Canyon National Park,CA,Sequoia and Kings Canyon ,Sequoia and Kings Canyon NP
71,2012-08-18,"Kings Canyon/sequoia, Sequoia National Park, Sequoia and Kings Canyon National Parks, Tulare County, US-CA, US",36.45197,-118.575061,California,Ochotona princeps,American Pika,Mammalia,Sequoia and Kings Canyon National Park,CA,Sequoia and Kings Canyon ,Sequoia and Kings Canyon NP
72,2012-08-19,"Kings Canyon/sequoia, Sequoia National Park, Sequoia and Kings Canyon National Parks, Tulare County, US-CA, US",36.451995000000004,-118.563286,California,Ochotona princeps,American Pika,Mammalia,Sequoia and Kings Canyon National Park,CA,Sequoia and Kings Canyon ,Sequoia and Kings Canyon NP
73,2012-08-19,"Sequoia National Park, Sequoia and Kings Canyon National Parks, Tulare County, US-CA, US",36.454464,-118.57606899999999,California,Ochotona princeps,American Pika,Mammalia,Sequoia and Kings Canyon National Park,CA,Sequoia and Kings Canyon ,Sequoia and Kings Canyon NP
74,2012-08-19,"Kings Canyon/sequoia, Sequoia National Park, Sequoia and Kings Canyon National Parks, Tulare County, US-CA, US",36.4518333333,-118.5633333333,California,Ochotona princeps,American Pika,Mammalia,Sequoia and Kings Canyon National Park,CA,Sequoia and Kings Canyon ,Sequoia and Kings Canyon NP
75,2012-08-19,"Kings Canyon/sequoia, Sequoia National Park, Sequoia and Kings Canyon National Parks, Tulare County, US-CA, US",36.443946000000004,-118.561797,California,Ochotona princeps,American Pika,Mammalia,Sequoia and Kings Canyon National Park,CA,Sequoia and Kings Canyon ,Sequoia and Kings Canyon NP
76,2012-08-19,"Kings Canyon/sequoia, Sequoia National Park, Sequoia and Kings Canyon National Parks, Tulare County, US-CA, US",36.450767,-118.563157,California,Ochotona princeps,American Pika,Mammalia,Sequoia and Kings Canyon National Park,CA,Sequoia and Kings Canyon ,Sequoia and Kings Canyon NP
77,2012-05-11,"Yellowstone National Park, WY, US",44.944930600000006,-110.6461152,Wyoming,Urocitellus armatus,Uinta Ground Squirrel,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
78,2012-05-11,"Yellowstone National Park, WY, US",44.9666989,-110.68330490000001,Wyoming,Neotamias amoenus,Yellow-pine Chipmunk,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
79,2012-05-11,"Yellowstone National Park, US",44.815681044499996,-110.3923723426,Wyoming,Ovis canadensis,Bighorn Sheep,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
80,2012-05-11,"Yellowstone National Park, WY, US",44.5427205,-110.7992372,Wyoming,Canis latrans,Coyote,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
81,2012-05-11,"Yellowstone National Park, WY, US",44.944930600000006,-110.6461152,Wyoming,Urocitellus armatus,Uinta Ground Squirrel,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
82,2012-05-30,"Yellowstone National Park, WY, US",44.8654426,-110.1212767,Wyoming,Urocitellus armatus,Uinta Ground Squirrel,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
83,2012-05-30,"Yellowstone National Park, WY, US",44.8654426,-110.1212767,Wyoming,Vulpes vulpes,Red Fox,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
84,2012-05-30,"Yellowstone National Park, US",44.948776718400005,-110.0535151234,Wyoming,Ovis canadensis,Bighorn Sheep,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
85,2012-05-30,"Yellowstone National Park, WY, US",44.978924400000004,-110.6942826,Wyoming,Antilocapra americana,Pronghorn,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
86,2012-05-30,"Yellowstone National Park, WY, US",44.9087859,-110.365036,Wyoming,Ursus americanus,American Black Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
87,2012-05-30,"Yellowstone National Park, US",44.8660974325,-110.2790040669,Wyoming,Bison bison,American Bison,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
88,2012-05-30,"Yellowstone National Park, US",44.9842955222,-110.3011612056,Wyoming,Bison bison,American Bison,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
89,2012-09-10,"Yellowstone National Park, Park County, US-WY, US",44.6795848005,-110.3130284757,Wyoming,Bison bison,American Bison,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
90,2012-10-03,"Cuyahoga Valley National Park, Peninsula, Ohio, US",41.2155,-81.5268333333,Ohio,Castor canadensis,American Beaver,Mammalia,Cuyahoga Valley National Park,OH,Cuyahoga Valley ,Cuyahoga Valley NP
91,2012-08-01,"Denali National Park, Denali County, US-AK, US",63.479315662,-149.9982981291,Alaska,Rangifer tarandus,Caribou,Mammalia,Denali National Park,AK,Denali ,Denali NP & PRES
93,2011-06-12,"Channel Islands National Park, Channel Islands, Santa Barbara County, UCNRS, US-CA, US",34.0276373408,-119.6684917326,California,Urocyon littoralis santacruzae,Santa Cruz Island Fox,Mammalia,Channel Islands National Park,CA,Channel Islands ,Channel Islands NP
94,2012-06-25,"Denali National Park, US-AK, US",63.1093817592,-151.1497809288,Alaska,Ursus arctos horribilis,Grizzly Bear,Mammalia,Denali National Park,AK,Denali ,Denali NP & PRES
95,2012-09-21,"Denali National Park, Denali County, US-AK, US",63.7322375297,-150.4021453857,Alaska,Ochotona collaris,Collared Pika,Mammalia,Denali National Park,AK,Denali ,Denali NP & PRES
96,2011-09-11,"Yellowstone National Park, US",44.9094983874,-110.2431234341,Wyoming,Bison bison,American Bison,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
97,2010-09-08,"Yellowstone National Park, Teton County, US-WY, US",44.5710769847,-110.4485530659,Wyoming,Bison bison,American Bison,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
98,1996-06-14,"Yellowstone National Park, US",44.496004560299994,-110.81483529260001,Wyoming,Bison bison,American Bison,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
99,2012-06-25,"SolDuc Campground, Olympic National Park, Clallam County, WA, US",47.966753000000004,-123.85797600000001,Washington,Tamiasciurus douglasii,Douglas' Squirrel,Mammalia,Olympic National Park,WA,Olympic ,Olympic NP
100,2012-07-02,"Colonial Creek Campground, North Cascades National Park,Whatcom County, WA, US",48.688788,-121.09917949999999,Washington,Neotamias townsendii,Townsend's Chipmunk,Mammalia,North Cascades National Park,WA,North Cascades ,North Cascades NP
101,2012-07-03,"Ross Lake trail, North Cascades National Park, Whatcom County, WA, US",48.7295441,-121.0571867,Washington,Callospermophilus saturatus,Cascade Golden-mantled Ground Squirrel,Mammalia,North Cascades National Park,WA,North Cascades ,North Cascades NP
102,2012-07-11,"Glacier National Park, Glacier County, MT, US",48.697449600000006,-113.71346489999999,Montana,Ovis canadensis,Bighorn Sheep,Mammalia,Glacier National Park,MT,Glacier ,Glacier NP
103,2012-07-11,"Rising Sun Campground, Glacier National Park, Glacier County, MT, US",48.694719899999996,-113.5226415,Montana,Urocitellus columbianus,Columbian Ground Squirrel,Mammalia,Glacier National Park,MT,Glacier ,Glacier NP
104,2012-07-12,"Logan Pass Visitor Center, Glacier National Park, Glacier County, MT, US",48.6952013,-113.7171203,Montana,Urocitellus columbianus,Columbian Ground Squirrel,Mammalia,Glacier National Park,MT,Glacier ,Glacier NP
105,2012-07-12,"Logan Pass Visitor Center, Glacier National Park, Glacier County, MT, US",48.695555299999995,-113.7189092,Montana,Ovis canadensis,Bighorn Sheep,Mammalia,Glacier National Park,MT,Glacier ,Glacier NP
106,2012-07-12,"Logan Pass Visitor Center, Glacier National Park, MT, US",48.6953515,-113.721205,Montana,Marmota caligata,Hoary Marmot,Mammalia,Glacier National Park,MT,Glacier ,Glacier NP
107,2012-07-13," Theodore Roosevelt National Park, Billings County, ND, US",46.955234000000004,-103.5120265,North Dakota,Cynomys ludovicianus,Black-tailed Prairie Dog,Mammalia,Theodore Roosevelt National Park,ND,Theodore Roosevelt ,Theodore Roosevelt NP
108,2013-02-14,"Cuyahoga Valley National Park, Peninsula, Ohio, US",41.20952,-81.569248,Ohio,Didelphis virginiana,Virginia Opossum,Mammalia,Cuyahoga Valley National Park,OH,Cuyahoga Valley ,Cuyahoga Valley NP
109,2008-08-09,"Glacier Bay National Park, Hoonah-Angoon County, US-AK, US",58.5836394663,-136.01446859540002,Alaska,Eumetopias jubatus,Steller Sea Lion,Mammalia,Glacier Bay National Park,AK,Glacier Bay ,Glacier Bay NP & PRES
110,2010-07-11,"Yellowstone National Park, Park County, US-WY, US",44.889054514099996,-110.72788574,Wyoming,Bison bison,American Bison,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
111,2013-03-18,"Death Valley National Park, Inyo County, US-CA, US",36.581757,-117.10350600000001,California,Ovis canadensis,Bighorn Sheep,Mammalia,Death Valley National Park,CA,Death Valley ,Death Valley NP
112,2013-03-28,"Cuyahoga Valley National Park, Akron, Ohio, US",41.170146,-81.577383,Ohio,Canis latrans,Coyote,Mammalia,Cuyahoga Valley National Park,OH,Cuyahoga Valley ,Cuyahoga Valley NP
113,2013-04-01,"Cuyahoga Valley National Park, Akron, Ohio, US",41.169959999999996,-81.57746,Ohio,Sciurus niger vulpinus,,Mammalia,Cuyahoga Valley National Park,OH,Cuyahoga Valley ,Cuyahoga Valley NP
114,2013-04-07,"Shenandoah National Park, Luray, Virginia, US",38.6213333333,-78.3438333333,Virginia,Odocoileus virginianus virginianus,Virginia White-tailed Deer,Mammalia,Shenandoah National Park,VA,Shenandoah ,Shenandoah NP
115,2002-02-02,"Yellowstone National Park, US",44.504603763999995,-110.9142610584,Wyoming,Ursus arctos horribilis,Grizzly Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
116,2013-05-14,"Yellowstone National Park, Park County, US-WY, US",44.7880261485,-110.3099831418,Wyoming,Bison bison,American Bison,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
117,2013-05-14,"Yellowstone National Park, Park County, US-WY, US",44.637453720299995,-110.3272533961,Wyoming,Bison bison,American Bison,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
118,2013-05-13,"Yellowstone National Park, Park County, US-WY, US",44.485833543000005,-110.2188978291,Wyoming,Ursus arctos,Brown Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
119,2013-05-28,"Badlands National Park, Interior, South Dakota, US",43.745791,-101.939908,South Dakota,Odocoileus hemionus,Mule Deer,Mammalia,Badlands National Park,SD,Badlands ,Badlands NP
120,2013-06-10,"Grand Teton National Park, Kelly, Wyoming, US",43.663000000000004,-110.6321666667,Wyoming,Antilocapra americana,Pronghorn,Mammalia,Grand Teton National Park,WY,Grand Teton ,Grand Teton NP
121,2013-05-09,"Big Bend National Park, Brewster County, US-TX, US",29.209605141500003,-103.3226265182,Texas,Ursus americanus eremicus,East Mexican Black Bear,Mammalia,Big Bend National Park,TX,Big Bend ,Big Bend NP
122,2009-09-08,"Big Bend National Park, Brewster County, US-TX, US",29.3614978317,-103.20864122729999,Texas,Ursus americanus eremicus,East Mexican Black Bear,Mammalia,Big Bend National Park,TX,Big Bend ,Big Bend NP
123,2013-06-10,"Grand Teton National Park, Kelly, Wyoming, US",43.6666666667,-110.6653333333,Wyoming,Urocitellus armatus,Uinta Ground Squirrel,Mammalia,Grand Teton National Park,WY,Grand Teton ,Grand Teton NP
124,2013-06-14,"Yellowstone National Park, Teton County, US-WY, US",44.554986397,-110.5522534308,Wyoming,Bison bison,American Bison,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
125,2013-06-18,"Badlands National Park, Scenic, South Dakota, US",43.811909,-102.157045,South Dakota,Cynomys ludovicianus,Black-tailed Prairie Dog,Mammalia,Badlands National Park,SD,Badlands ,Badlands NP
126,2013-06-14,"Yellowstone National Park, Park County, US-WY, US",44.6449802562,-110.6092582442,Wyoming,Bison bison,American Bison,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
127,2013-06-13,"Yellowstone National Park, US-WY, US",44.455690402399995,-110.3570422434,Wyoming,Ursus arctos,Brown Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
128,2013-06-16,"Yellowstone National Park, US-WY, US",44.4945529851,-110.2841438316,Wyoming,Ursus arctos horribilis,Grizzly Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
129,2013-06-19,"Yellowstone National Park, Park County, US-WY, US",44.6682730451,-110.4035571349,Wyoming,Bison bison,American Bison,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
130,2013-05-14,"Yellowstone National Park, Park County, US-WY, US",44.6351812392,-110.4666962333,Wyoming,Bison bison,American Bison,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
131,2013-07-06,"Theodore Roosevelt National Park South Unit, Fairfield, North Dakota, US",46.978513,-103.49173,North Dakota,Bison bison,American Bison,Mammalia,Theodore Roosevelt National Park,ND,Theodore Roosevelt ,Theodore Roosevelt NP
132,2004-04-06,"Antelope Flats, Grand Teton National Park, WY, US",43.702991,-110.64826399999998,Wyoming,Alces alces,Moose,Mammalia,Grand Teton National Park,WY,Grand Teton ,Grand Teton NP
133,2004-04-06,"Grand Teton National Park, WY, US",43.796872,-110.67901599999999,Wyoming,Neotamias,Western Chipmunks,Mammalia,Grand Teton National Park,WY,Grand Teton ,Grand Teton NP
